Name,Industry,Sector,Headquarters,Founded,Notes
Phoenix Petroleum,Oil & gas,Exploration & production,Davao City,2002,Oil & gas
Plantersbank,Financials,Banks,Makati,1971,"Development bank, defunct 2016"
Play Innovations,Amusement services,Entertainment center,Taguig,2013,"Entertainment center, part of ABS-CBN Corporation, defunct 2020"
PLDT,Telecommunications,Fixed line telecommunications,Makati,1928,Telecom and digital services
PMFTC,Consumer goods,Tobacco,Makati,2010,Tobacco
Progressive Broadcasting Corporation,Consumer services,Broadcasting & entertainment,Mandaluyong,1987,Broadcasting radio and television
Property Company of Friends,Financials,Real estate holding & development,Mandaluyong,1999,Real estate development
Puregold,Consumer services,Broadline retailers,Manila,1998,Supermarket chain
Quest Broadcasting,Consumer services,Broadcasting & entertainment,Mandaluyong,1986,Broadcaster
Radio Corporation of the Philippines,Consumer services,Broadcasting & entertainment,Manila,1924,"Radio, television"
Radio Mindanao Network,Mass media,Broadcasting & entertainment,Makati,1952,"Broadcasting radio, television, digital media and Consumer services"
Radio Philippines Network,Conglomerates,Broadcasting & entertainment,Quezon City,1960,State broadcaster
Rajah Broadcasting Network,Consumer services,Broadcasting & entertainment,Makati,1963,"Radio, television"
Rappler,Consumer services,Broadcasting & entertainment,Pasig,2012,Online media
Red Mobile,Telecommunications,Mobile telecommunications,Makati,2012,"Mobile network, part of PLDT"
Red Ribbon,Consumer services,Restaurants & bars,Quezon City,1979,"Bakery, part of Jollibee Foods Corporation"
Regal Entertainment,Consumer services,Broadcasting & entertainment,Quezon City,1962,Television and film production
Republic Biscuit Corporation,Consumer goods,Food products,Pasig,1963,Snacks and biscuits
RFM Corporation,Consumer goods,Food products,Mandaluyong,1957,Food and beverage
Rizal Commercial Banking Corporation,Financials,Banks,Makati,1960,Universal bank
Robinsons Malls,Consumer services,Broadline retailers,Quezon City,1997,"Shopping malls, part of Robinsons Retail Holdings"
Robinsons Retail Holdings,Consumer services,Retailers,Pasig,1980,Retail holding
San Juan de Dios Hospital,Health care,Health care providers,Pasay,1578,Hospital and college
San Miguel Brewery,Consumer goods,Brewers,Mandaluyong,2007,"Brewery, part of San Miguel Food and Beverage"
San Miguel Corporation,Conglomerates,Various,Mandaluyong,1890,"Consumer goods, industrials, oil & gas"
San Miguel Food and Beverage,Consumer goods,Food products,Pasig,1956,"Food and drink, part of San Miguel Corporation"
Sarao Motors,Consumer goods,Automobiles,Las Piñas,1953,Automotive
Seaoil,Oil & gas,Exploration & production,Pasig,1978,Oil & gas
Security Bank,Financials,Banks,Makati,1951,Universal bank
Sky,Telecommunications,Fixed line telecommunications,Quezon City,1990,"Pay TV and broadband, part of ABS-CBN Corporation"
Sky Pasada,Consumer services,Airlines,Quezon City,2010,Airline
SkyJet Airlines,Consumer services,Airlines,Manila,2005,Airline
SM Investments Corporation,Conglomerates,-,Pasay,1994,"Financials, retail, mining, gaming"
SM Prime Holdings,Consumer services,Broadline retailers,Pasay,1958,"Shopping malls, part of SM Investments Corporation"
SM Supermalls,Consumer services,Broadline retailers,Pasay,1985,"Shopping malls, part of SM Investments Corporation"
Smart Communications,Telecommunications,Mobile telecommunications,Makati,1991,"Wireless, part of PLDT"
Solar Entertainment Corporation,Consumer services,Broadcasting & entertainment,Mandaluyong,1976,Broadcaster
Sonshine Media Network International,Mass media,Broadcasting & entertainment,Davao City / Makati,1989,"Religious broadcaster, radio, television, digital media and Consumer services"
South Star Drug,Consumer services,Drug retailers,Naga,1937,Drugstores
Southern Broadcasting Network,Consumer services,Broadcasting & entertainment,Mandaluyong,1970,"Broadcasting radio, television, part of Solar Entertainment Corporation"
Southern Philippines Medical Center,Health care,Health care providers,Davao City,1917,Hospital
Sparkle GMA Artist Center,Consumer services,Broadcasting & entertainment,Quezon City,1995,"Talent agency, part of GMA Network"
Splash Corporation,Consumer goods,Personal care,Taguig,1985,"Beauty products, part of Wipro Enterprises (India)"
Spirit of Manila Airlines,Consumer services,Airlines,Pasay,2011,"Airline, defunct 2012"
Spring Films,Consumer services,Entertainment,-,2009,Film production
St. Luke's Medical Center,Health care,Health care providers,Quezon City,1903,Hospital
Sta. Lucia Land Inc.,Financials,Real estate holding & development,Cainta,1972,"Real estate, hotels, golf course"
Star Cinema,Consumer services,Broadcasting & entertainment,Quezon City,1993,"Motion picture, part of ABS-CBN Corporation"
Studio Viva,Consumer services,Entertainment,Quezon City,1986,"Television production, part of Viva Communications"
Star Magic,Consumer services,Broadcasting & entertainment,Quezon City,1992,"Talent agency, part of ABS-CBN Corporation"
Star Music,Consumer services,Broadcasting & entertainment,Quezon City,1995,"Music recording, part of ABS-CBN Corporation"
Starmobile,Technology,Telecommunications equipment,Pasig,2011,Smartphone manufacturer
Summit Media,Consumer services,Publishing and entertainment,Mandaluyong,1995,"Magazines, books, digital media"
Sun Cellular,Telecommunications,Mobile telecommunications,Quezon City,2003,"Mobile network, part of PLDT, defunct 2022"
Supercat Fast Ferry Corporation (SFFC),Industrials,Marine transportation,Cebu City,1994,Ferries
SuperFerry,Industrials,Marine transportation,Manila,1990,"Ferries, founded as part of Aboitiz Shipping Company, defunct 2012"
TAPE Inc.,Consumer services,Broadcasting & entertainment,Quezon City,1978,Television production
TAP Digital Media Ventures Corporation,Consumer services,Entertainment,Mandaluyong,2018,"Pay TV channels, Over-the-top media service"
TBA Studios,Consumer services,Entertainment,Quezon City,2017,Film production
The Daily Tribune,Consumer services,Publishing,Manila,1999,Newspaper
The Philippine Star,Consumer services,Publishing,Manila,1986,Newspaper; part of MediaQuest arm of PLDT
The SM Store,Consumer services,Broadline retailers,Manila,1958,Part of SM Investments Corporation
Tiger 22 Media Corporation,Consumer services,Broadcasting & entertainment,Makati,2010,"Radio, marketing and advertising"
TM,Telecommunications,Mobile telecommunications,Taguig,2001,"Cell network, part of Globe Telecom"
TNT,Telecommunications,Mobile telecommunications,Makati,1991,"Cell network, part of Smart Communications"
Tokyo Tokyo,Consumer services,Restaurants & bars,Quezon City,1985,Restaurant chain
Top Frontier Investment Holdings,Conglomerates,-,Makati,2008,"Mining, food & beverage, power"
TV5 Network,Mass media,Broadcasting & entertainment,Quezon City / Mandaluyong,1960,"Broadcasting, radio, streaming, television, films, music, television program, web portals, talent agency, consumer and services; part of MediaQuest arm of PLDT"
TVJ Productions,Consumer services,Broadcasting and entertainment,Mandaluyong,2023,TV production
Udenna Corporation,Conglomerates,Holding firm,Davao City,2002,"Oil, shipping and logistics, real estate, education, telecommunications, gaming and hospitality, food and retail, infrastructure"
Unilab,Consumer goods,Pharmaceutical,Mandaluyong,1945,"Medicines, vitamins, supplements and personal care products"
Unilever Philippines,Consumer goods,"Food products, beverages and personal care",Taguig,1927,"Foods, drinks and beauty products, part of Unilever (UK)"
Union Bank of the Philippines,Financials,Banks,Pasig,1982,Universal bank
United Coconut Planters Bank,Financials,Banks,Makati,1963,"Universal bank, defunct 2022"
Universal Robina,Consumer goods,Food products,Quezon City,1954,"Foods and beverages, part of JG Summit Holdings"
University of Mindanao Broadcasting Network,Consumer services,Broadcasting & entertainment,Davao City,1949,Radio
University of Santo Tomas Hospital,Health care,Health care providers,Manila,1946,Hospital
Uniwide Sales,Consumer services,Broadline retailers,Parañaque / Las Piñas,1975,"Shopping malls, defunct 2013"
Upstream,Consumer services,Digital media and entertainment,Makati,2020,Over-the-top media service
Viva Communications,Consumer services,Broadcasting & entertainment,Pasig,1981,Media holding
Viva Films,Consumer services,Entertainment,Quezon City,1981,"Film production, part of Viva Communications"
Zest-O Corporation,Consumer goods,Beverage,Caloocan,1980,Drink
ZOE Broadcasting Network,Consumer services,Broadcasting & entertainment,Pasig,1998,Religious broadcaster
